[0904/164114.093:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0906/194727.392:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194727.833:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194728.552:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194728.729:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194729.820:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194730.609:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194730.782:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194731.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194732.032:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194732.407:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194732.842:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194733.574:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194733.745:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194734.829:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194735.628:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194735.791:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194736.929:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194737.053:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194737.423:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194737.864:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194738.593:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194738.761:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194739.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194740.641:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194740.804:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194741.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194742.064:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194742.436:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194742.876:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194743.608:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194743.774:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194744.897:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194745.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194745.824:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194746.948:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194747.083:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194747.450:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194747.893:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194748.622:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194748.795:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194749.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194750.676:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194750.834:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194751.959:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194752.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194752.473:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194752.908:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194753.641:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194753.804:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194754.923:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194755.692:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194755.854:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194756.976:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194757.004:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194757.108:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194757.487:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194757.930:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194758.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194758.813:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194759.937:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194800.714:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194800.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194801.994:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194802.011:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194802.129:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194802.497:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194802.940:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194803.672:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194803.823:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194804.949:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194805.727:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194805.877:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194807.009:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194807.023:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194807.145:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194807.513:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194807.958:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194808.688:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194808.834:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194809.968:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194810.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194810.892:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194812.022:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194812.028:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194812.162:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194812.521:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194812.962:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194813.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194813.854:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194835.373:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194849.006:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0906/194855.794:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
